Sing新加坡,#genre#
Channel 8,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=642606be0002dd54ede3d8b40d6c04dc
Channel 8(b),http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=642605590007b381edde676b090919b0
Channel 5,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=642606de000ae43dede457c221b81de1
Channel 5(b),http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=642606cc000ea9beede41269137f162d
Channel u,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=642606fa000535beede4c3ae3202280b
Channel u(b),http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=642606ee00041309ede4948330973faf
Suria,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=642607350004432dede5a9e74ab33b04
Suria(b),http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=642607270006fbf5ede573e945ee3a6c
Vasantham,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=6426075f0008f378ede64f2a028a268e
Vasantham(b),http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64260747000040bcede5ef305d766294
CNA,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=6426077a00093ea7ede6b8b64d6d4c6e
CAN B,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=6426078a00013cc2ede6f5290aab17e4
CM+,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=65f5aee3000d00b621b571302181656e
E -Le HD 乐,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=65f5aeef000e9d4b21b5a07a3391218d
娱家,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=65f5aef60008044721b5ba22261e5d65
ECity 都会台,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=65f5aefd0000f16221b5d3aa029b351e
HBO HD my,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137ee50006d7eca581a3b3297e60a3
HBO tw,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137f0b0006a17fa58238155813216c
HBO Family my,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137f29000ae5e4a582ae5d42d65d7a
HBO家庭,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137f3c000d4a86a582f93235111bc5
HBO Signature my,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137f530000971da5834fca2631479a
HBO强档,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137f700008f329a583c3344ddf5dfc
HBO Hits my,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137f85000a578fa58415985b5b1f5d
HBO原创,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137f970005246ea5845a9326ce6233
AXN tw,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137fb6000e2555a584d5f94945113b
Thrill,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=644a0879000272f67a89b6687af342ae
AXN tw2,http://A/ku9/js/k9oh920.js?ip=108.181.32.169&id=64137fed000660a5a585aad4055228a8
