台灣頻道,#genre#
山陀兒颱風監視,http://api.xiptv.x10.bz/anbo/?id=52
民視,http://api.xiptv.x10.bz/anbo/?id=336
民視,http://api.xiptv.x10.bz/anbo/?id=2805
台視,http://api.xiptv.x10.bz/anbo/?id=27
台視,http://api.xiptv.x10.bz/anbo/?id=326
台視,http://api.xiptv.x10.bz/anbo/?id=312
中視,http://api.xiptv.x10.bz/anbo/?id=333
中視,http://api.xiptv.x10.bz/anbo/?id=1041
華視,http://api.xiptv.x10.bz/anbo/?id=32
公視,http://api.xiptv.x10.bz/anbo/?id=86
公視,http://api.xiptv.x10.bz/anbo/?id=28
好消息,http://api.xiptv.x10.bz/anbo/?id=104
客家電視,http://api.xiptv.x10.bz/anbo/?id=76
緯來綜合,http://api.xiptv.x10.bz/anbo/?id=2726
八大第一,http://api.xiptv.x10.bz/anbo/?id=318
八大綜合,http://api.xiptv.x10.bz/anbo/?id=3258
八大綜合,http://api.xiptv.x10.bz/anbo/?id=2286
東風衛視,http://api.xiptv.x10.bz/anbo/?id=3262
三立臺灣,http://api.xiptv.x10.bz/anbo/?id=35
三立臺灣,http://api.xiptv.x10.bz/anbo/?id=2436
三立臺灣,http://api.xiptv.x10.bz/anbo/?id=21
三立都會,http://api.xiptv.x10.bz/anbo/?id=2435
三立都會,http://api.xiptv.x10.bz/anbo/?id=1001
三立都會,http://api.xiptv.x10.bz/anbo/?id=38
東森綜合,http://api.xiptv.x10.bz/anbo/?id=372
東森綜合-替,http://api.xiptv.x10.bz/anbo/?id=3254
東森超視,http://api.xiptv.x10.bz/anbo/?id=80
東森購物2,http://api.xiptv.x10.bz/anbo/?id=1156
中天綜合,http://api.xiptv.x10.bz/anbo/?id=3072
中天綜合,http://api.xiptv.x10.bz/anbo/?id=54
中天娛樂,http://api.xiptv.x10.bz/anbo/?id=324
TVBS歡樂,http://api.xiptv.x10.bz/anbo/?id=40
八大精彩,http://api.xiptv.x10.bz/anbo/?id=1024
JET綜合,http://api.xiptv.x10.bz/anbo/?id=41
東森購物1,http://api.xiptv.x10.bz/anbo/?id=1155
TVBS,http://api.xiptv.x10.bz/anbo/?id=2273
TVBS,http://api.xiptv.x10.bz/anbo/?id=16
緯來育樂,http://api.xiptv.x10.bz/anbo/?id=338
緯來育樂（測試）,http://api.xiptv.x10.bz/anbo/?id=2772
緯來日本,http://api.xiptv.x10.bz/anbo/?id=337
緯來日本,http://api.xiptv.x10.bz/anbo/?id=46
國興衛視,http://api.xiptv.x10.bz/anbo/?id=65
信大電視,http://api.xiptv.x10.bz/anbo/?id=422
八大娱乐,http://api.xiptv.x10.bz/anbo/?id=105
公視3台,http://api.xiptv.x10.bz/anbo/?id=1340
好消息2,http://api.xiptv.x10.bz/anbo/?id=363
高點綜合,http://api.xiptv.x10.bz/anbo/?id=99
中天亞洲,http://api.xiptv.x10.bz/anbo/?id=2277
中天亞洲,http://api.xiptv.x10.bz/anbo/?id=322
民視第一台,http://api.xiptv.x10.bz/anbo/?id=34
民視台灣,http://api.xiptv.x10.bz/anbo/?id=36
龍華日韓,http://api.xiptv.x10.bz/anbo/?id=382
豬哥亮歌廳秀,http://api.xiptv.x10.bz/anbo/?id=75
豬哥會社,http://api.xiptv.x10.bz/anbo/?id=103
ELTA娛樂台,http://api.xiptv.x10.bz/anbo/?id=351
韓國娛樂,http://api.xiptv.x10.bz/anbo/?id=73
靖天國際,http://api.xiptv.x10.bz/anbo/?id=345
靖天育樂,http://api.xiptv.x10.bz/anbo/?id=1029
靖天日本,http://api.xiptv.x10.bz/anbo/?id=108
靖天歡樂,http://api.xiptv.x10.bz/anbo/?id=51
三立綜合,http://api.xiptv.x10.bz/anbo/?id=315
三立綜合,http://api.xiptv.x10.bz/anbo/?id=2815
靖天資訊,http://api.xiptv.x10.bz/anbo/?id=49
靖天綜合,http://api.xiptv.x10.bz/anbo/?id=308
中視經典,http://api.xiptv.x10.bz/anbo/?id=185
中視菁采,http://api.xiptv.x10.bz/anbo/?id=74
TVBS精采,http://api.xiptv.x10.bz/anbo/?id=66
TVBS精采,http://api.xiptv.x10.bz/anbo/?id=117
年代much,http://api.xiptv.x10.bz/anbo/?id=1359
ELTA綜合,http://api.xiptv.x10.bz/anbo/?id=1137
東森購物3,http://api.xiptv.x10.bz/anbo/?id=1584
MOMO購物1,http://api.xiptv.x10.bz/anbo/?id=1585
MOMO購物2,http://api.xiptv.x10.bz/anbo/?id=1586
美好購物1,http://api.xiptv.x10.bz/anbo/?id=1591
美好購物2,http://api.xiptv.x10.bz/anbo/?id=1592
大立電視,http://api.xiptv.x10.bz/anbo/?id=1593
國會頻道１,http://api.xiptv.x10.bz/anbo/?id=2614
國會頻道2,http://api.xiptv.x10.bz/anbo/?id=420
海豚綜合,http://api.xiptv.x10.bz/anbo/?id=262
台灣地震監視,http://api.xiptv.x10.bz/anbo/?id=2637
中視經典綜藝,http://api.xiptv.x10.bz/anbo/?id=2773
萬秀豬王,http://api.xiptv.x10.bz/anbo/?id=2978
三立新聞,http://api.xiptv.x10.bz/anbo/?id=43
三立新聞,http://api.xiptv.x10.bz/anbo/?id=2794
三立新聞,http://api.xiptv.x10.bz/anbo/?id=2392
三立新聞+,http://api.xiptv.x10.bz/anbo/?id=320
東森新聞,http://api.xiptv.x10.bz/anbo/?id=1025
東森新聞4,http://api.xiptv.x10.bz/anbo/?id=2766
東森新聞,http://api.xiptv.x10.bz/anbo/?id=1358
東森新聞,http://api.xiptv.x10.bz/anbo/?id=2393
東森亞洲,http://api.xiptv.x10.bz/anbo/?id=3
中天新聞2台,http://api.xiptv.x10.bz/anbo/?id=152
中天新聞,http://api.xiptv.x10.bz/anbo/?id=2420
民視新聞,http://api.xiptv.x10.bz/anbo/?id=2395
民視新聞,http://api.xiptv.x10.bz/anbo/?id=13
TVBS新聞,http://api.xiptv.x10.bz/anbo/?id=2736
TVBS新聞,http://api.xiptv.x10.bz/anbo/?id=2
TVBS新聞,http://api.xiptv.x10.bz/anbo/?id=2396
東森財經,http://api.xiptv.x10.bz/anbo/?id=2397
東森財經,http://api.xiptv.x10.bz/anbo/?id=12
華視新聞,http://api.xiptv.x10.bz/anbo/?id=2424
華視新聞,http://api.xiptv.x10.bz/anbo/?id=1171
台視新聞,http://api.xiptv.x10.bz/anbo/?id=2399
台視新聞,http://api.xiptv.x10.bz/anbo/?id=1
中視新聞,http://api.xiptv.x10.bz/anbo/?id=2400
寰宇新聞,http://api.xiptv.x10.bz/anbo/?id=2401
寰宇新聞,http://api.xiptv.x10.bz/anbo/?id=304
寰宇財經,http://api.xiptv.x10.bz/anbo/?id=2536
公視新聞,http://api.xiptv.x10.bz/anbo/?id=20
寰宇臺灣,http://api.xiptv.x10.bz/anbo/?id=87
年代新聞,http://api.xiptv.x10.bz/anbo/?id=2719
壹新聞,http://api.xiptv.x10.bz/anbo/?id=2777
年代新聞-備,http://api.xiptv.x10.bz/anbo/?id=1099
壹新聞-替,http://api.xiptv.x10.bz/anbo/?id=494
台視財經,http://api.xiptv.x10.bz/anbo/?id=300
鏡新聞mnews,http://api.xiptv.x10.bz/anbo/?id=463
三立国際,http://api.xiptv.x10.bz/anbo/?id=2285
CBN News,http://api.xiptv.x10.bz/anbo/?id=499
東森戲劇,http://api.xiptv.x10.bz/anbo/?id=2825
東森戲劇-備,http://api.xiptv.x10.bz/anbo/?id=321
八大戲劇,http://api.xiptv.x10.bz/anbo/?id=81
緯來戲劇,http://api.xiptv.x10.bz/anbo/?id=2727
緯來戲劇-備,http://api.xiptv.x10.bz/anbo/?id=339
東森電影-備,http://api.xiptv.x10.bz/anbo/?id=350
東森電影,http://api.xiptv.x10.bz/anbo/?id=2720
緯來電影,http://api.xiptv.x10.bz/anbo/?id=2728
緯來電影,http://api.xiptv.x10.bz/anbo/?id=3252
HBO HD,http://api.xiptv.x10.bz/anbo/?id=332
HBO HD,http://api.xiptv.x10.bz/anbo/?id=2823
東森洋片,http://api.xiptv.x10.bz/anbo/?id=1128
壹電影,http://api.xiptv.x10.bz/anbo/?id=2284
好萊塢電影,http://api.xiptv.x10.bz/anbo/?id=37
愛爾達影劇,http://api.xiptv.x10.bz/anbo/?id=500
CineMAX,http://api.xiptv.x10.bz/anbo/?id=346
靖天映畫,http://api.xiptv.x10.bz/anbo/?id=349
靖洋戲劇,http://api.xiptv.x10.bz/anbo/?id=319
緯來精彩,http://api.xiptv.x10.bz/anbo/?id=2280
EYE戲劇,http://api.xiptv.x10.bz/anbo/?id=191
三立戲劇,http://api.xiptv.x10.bz/anbo/?id=64
三立戲劇,http://api.xiptv.x10.bz/anbo/?id=2819
龍華偶像,http://api.xiptv.x10.bz/anbo/?id=385
霹靂臺灣,http://api.xiptv.x10.bz/anbo/?id=1339
靖天電影,http://api.xiptv.x10.bz/anbo/?id=110
美亞電影,http://api.xiptv.x10.bz/anbo/?id=375
HBOSignature,http://api.xiptv.x10.bz/anbo/?id=329
HBOSignature,http://api.xiptv.x10.bz/anbo/?id=2824
HBO Hits,http://api.xiptv.x10.bz/anbo/?id=330
采昌影劇,http://api.xiptv.x10.bz/anbo/?id=62
采昌影劇,http://api.xiptv.x10.bz/anbo/?id=2804
影迷數位電影,http://api.xiptv.x10.bz/anbo/?id=497
影迷數位電影,http://api.xiptv.x10.bz/anbo/?id=2800
龍華戲劇,http://api.xiptv.x10.bz/anbo/?id=365
龍華戲劇,http://api.xiptv.x10.bz/anbo/?id=2796
龍華經典,http://api.xiptv.x10.bz/anbo/?id=100
龍翔時代,http://api.xiptv.x10.bz/anbo/?id=373
AXN臺灣,http://api.xiptv.x10.bz/anbo/?id=2816
天映經典,http://api.xiptv.x10.bz/anbo/?id=2289
公視戲劇,http://api.xiptv.x10.bz/anbo/?id=69
AXN亞洲,http://api.xiptv.x10.bz/anbo/?id=1066
Trill恐怖電影,http://api.xiptv.x10.bz/anbo/?id=18
龍華電影,http://api.xiptv.x10.bz/anbo/?id=311
華納電影,http://api.xiptv.x10.bz/anbo/?id=83
靖天戲劇,http://api.xiptv.x10.bz/anbo/?id=109
龍華洋片,http://api.xiptv.x10.bz/anbo/?id=341
飢餓遊戲,http://api.xiptv.x10.bz/anbo/?id=264
緯來體育,http://api.xiptv.x10.bz/anbo/?id=118
緯來體育,http://api.xiptv.x10.bz/anbo/?id=2732
ELTA體育1,http://api.xiptv.x10.bz/anbo/?id=2729
ELTA體育1-備,http://api.xiptv.x10.bz/anbo/?id=192
ELTA體育2,http://api.xiptv.x10.bz/anbo/?id=2730
ELTA體育2-備,http://api.xiptv.x10.bz/anbo/?id=193
ELTA體育3-備2,http://api.xiptv.x10.bz/anbo/?id=194
ELTA體育3,http://api.xiptv.x10.bz/anbo/?id=2731
ELTA體育3台-備,http://api.xiptv.x10.bz/anbo/?id=2722
ELTA體育4,http://api.xiptv.x10.bz/anbo/?id=2820
ELTA體育4-備,http://api.xiptv.x10.bz/anbo/?id=3255
Eleven Sport 1,http://api.xiptv.x10.bz/anbo/?id=3224
Eleven Sport 2,http://api.xiptv.x10.bz/anbo/?id=301
Z頻道,http://api.xiptv.x10.bz/anbo/?id=1130
博斯無限,http://api.xiptv.x10.bz/anbo/?id=381
博斯無限,http://api.xiptv.x10.bz/anbo/?id=2797
博斯無限2,http://api.xiptv.x10.bz/anbo/?id=426
博斯無限2,http://api.xiptv.x10.bz/anbo/?id=2798
博斯運動1,http://api.xiptv.x10.bz/anbo/?id=379
博斯運動2,http://api.xiptv.x10.bz/anbo/?id=380
亞洲旅遊,http://api.xiptv.x10.bz/anbo/?id=2299
探索頻道,http://api.xiptv.x10.bz/anbo/?id=2817
探索頻道,http://api.xiptv.x10.bz/anbo/?id=1035
大陸尋奇,http://api.xiptv.x10.bz/anbo/?id=102
動物星球,http://api.xiptv.x10.bz/anbo/?id=367
探索亞洲,http://api.xiptv.x10.bz/anbo/?id=306
探索科學,http://api.xiptv.x10.bz/anbo/?id=343
國家野生（英）,http://api.xiptv.x10.bz/anbo/?id=1038
探索EVE,http://api.xiptv.x10.bz/anbo/?id=1036
TaiwanPlus,http://api.xiptv.x10.bz/anbo/?id=327
視納華仁紀實,http://api.xiptv.x10.bz/anbo/?id=91
美食星球,http://api.xiptv.x10.bz/anbo/?id=3073
美食星球,http://api.xiptv.x10.bz/anbo/?id=1360
EYE旅遊,http://api.xiptv.x10.bz/anbo/?id=1494
探索動力DMAX,http://api.xiptv.x10.bz/anbo/?id=335
Globetrotter（MOD）,http://api.xiptv.x10.bz/anbo/?id=3259
MOMO親子,http://api.xiptv.x10.bz/anbo/?id=2767
東森幼幼,http://api.xiptv.x10.bz/anbo/?id=371
東森幼幼（備）,http://api.xiptv.x10.bz/anbo/?id=2771
東森亞洲呦呦,http://api.xiptv.x10.bz/anbo/?id=293
CN卡通,http://api.xiptv.x10.bz/anbo/?id=107
靖洋卡通,http://api.xiptv.x10.bz/anbo/?id=348
靖天卡通,http://api.xiptv.x10.bz/anbo/?id=344
大愛一臺,http://api.xiptv.x10.bz/anbo/?id=11
港澳頻道,#genre#
TVB翡翠,http://api.xiptv.x10.bz/anbo/?id=390
TVB翡翠,http://api.xiptv.x10.bz/anbo/?id=30
TVB明珠,http://api.xiptv.x10.bz/anbo/?id=391
TVB明珠,http://api.xiptv.x10.bz/anbo/?id=2437
TVB plus,http://api.xiptv.x10.bz/anbo/?id=45
TVB plus,http://api.xiptv.x10.bz/anbo/?id=394
HOY资讯台,http://api.xiptv.x10.bz/anbo/?id=395
