台灣頻道,#genre#
民視,http://cookies.elementfx.com/ublive/ublive.php?id=336
民視,http://cookies.elementfx.com/ublive/ublive.php?id=2805
台視,http://cookies.elementfx.com/ublive/ublive.php?id=27
台視,http://cookies.elementfx.com/ublive/ublive.php?id=326
台視,http://cookies.elementfx.com/ublive/ublive.php?id=312
中視,http://cookies.elementfx.com/ublive/ublive.php?id=333
中視,http://cookies.elementfx.com/ublive/ublive.php?id=1041
華視,http://cookies.elementfx.com/ublive/ublive.php?id=32
華視,http://cookies.elementfx.com/ublive/ublive.php?id=2282
公視,http://cookies.elementfx.com/ublive/ublive.php?id=86
公視,http://cookies.elementfx.com/ublive/ublive.php?id=28
好消息,http://cookies.elementfx.com/ublive/ublive.php?id=104
客家電視,http://cookies.elementfx.com/ublive/ublive.php?id=76
緯來綜合,http://cookies.elementfx.com/ublive/ublive.php?id=2726
八大第一,http://cookies.elementfx.com/ublive/ublive.php?id=318
八大綜合,http://cookies.elementfx.com/ublive/ublive.php?id=2286
三立臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=21
三立臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=35
三立臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=2436
三立都會,http://cookies.elementfx.com/ublive/ublive.php?id=1001
三立都會,http://cookies.elementfx.com/ublive/ublive.php?id=2435
三立都會,http://cookies.elementfx.com/ublive/ublive.php?id=38
東森綜合,http://cookies.elementfx.com/ublive/ublive.php?id=372
東森綜合,http://cookies.elementfx.com/ublive/ublive.php?id=3254
東森超視,http://cookies.elementfx.com/ublive/ublive.php?id=80
東森購物2,http://cookies.elementfx.com/ublive/ublive.php?id=1156
中天綜合,http://cookies.elementfx.com/ublive/ublive.php?id=3072
中天綜合,http://cookies.elementfx.com/ublive/ublive.php?id=54
中天娛樂,http://cookies.elementfx.com/ublive/ublive.php?id=324
TVBS歡樂,http://cookies.elementfx.com/ublive/ublive.php?id=40
八大精彩,http://cookies.elementfx.com/ublive/ublive.php?id=1024
JET綜合,http://cookies.elementfx.com/ublive/ublive.php?id=41
東森購物1,http://cookies.elementfx.com/ublive/ublive.php?id=1155
TVBS,http://cookies.elementfx.com/ublive/ublive.php?id=2273
TVBS,http://cookies.elementfx.com/ublive/ublive.php?id=16
緯來育樂,http://cookies.elementfx.com/ublive/ublive.php?id=338
緯來育樂（測試）,http://cookies.elementfx.com/ublive/ublive.php?id=2772
緯來日本,http://cookies.elementfx.com/ublive/ublive.php?id=337
緯來日本,http://cookies.elementfx.com/ublive/ublive.php?id=46
國興衛視,http://cookies.elementfx.com/ublive/ublive.php?id=65
信大電視,http://cookies.elementfx.com/ublive/ublive.php?id=422
八大娱乐,http://cookies.elementfx.com/ublive/ublive.php?id=105
公視3台,http://cookies.elementfx.com/ublive/ublive.php?id=1340
好消息2,http://cookies.elementfx.com/ublive/ublive.php?id=363
高點綜合,http://cookies.elementfx.com/ublive/ublive.php?id=99
中天亞洲,http://cookies.elementfx.com/ublive/ublive.php?id=2277
中天亞洲,http://cookies.elementfx.com/ublive/ublive.php?id=322
民視第一台,http://cookies.elementfx.com/ublive/ublive.php?id=34
民視台灣,http://cookies.elementfx.com/ublive/ublive.php?id=36
龍華日韓,http://cookies.elementfx.com/ublive/ublive.php?id=382
豬哥亮歌廳秀,http://cookies.elementfx.com/ublive/ublive.php?id=75
豬哥會社,http://cookies.elementfx.com/ublive/ublive.php?id=103
ELTA娛樂台,http://cookies.elementfx.com/ublive/ublive.php?id=351
韓國娛樂,http://cookies.elementfx.com/ublive/ublive.php?id=73
靖天國際,http://cookies.elementfx.com/ublive/ublive.php?id=345
靖天育樂,http://cookies.elementfx.com/ublive/ublive.php?id=1029
