🇹🇼弯弯综合,#genre#
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
中视闽南台,rtmp://f13h.mine.nu/sat/tv091
台视闽南台,rtmp://f13h.mine.nu/sat/tv071
华视闽南台,rtmp://f13h.mine.nu/sat/tv111
东森超视台,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
纬来日本台,rtmp://f13h.mine.nu/sat/tv771
纬来育乐台,rtmp://f13h.mine.nu/sat/tv701
纬来体育台,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1台,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2台,rtmp://f13h.mine.nu/sat/tv741

八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8

中视闽南台,rtmp://f13h.mine.nu/sat/tv091
台视闽南台,rtmp://f13h.mine.nu/sat/tv071
华视闽南台,rtmp://f13h.mine.nu/sat/tv111
东森超视台,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
纬来日本台,rtmp://f13h.mine.nu/sat/tv771
纬来育乐台,rtmp://f13h.mine.nu/sat/tv701
纬来体育台,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1台,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2台,rtmp://f13h.mine.nu/sat/tv741

八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8

TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
AMC 电影,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8

台视频道,rtmp://220.130.201.73/sat/tv071
民视频道,rtmp://220.130.201.73/sat/tv051
纬来体育,rtmp://220.130.201.73/sat/tv721
纬来日本,rtmp://220.130.201.73/sat/tv771
东森超视,rtmp://220.130.201.73/sat/tv331
民视频道,rtmp://f13h.mine.nu/sat/tv051
台视频道,rtmp://f13h.mine.nu/sat/tv071
中视频道,rtmp://f13h.mine.nu/sat/tv091
華視频道,rtmp://f13h.mine.nu/sat/tv111
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
龙祥时代台,http://8.137.59.151:3009/TV2/gat.php?id=77

寰宇新闻台,http://8.137.59.151:3009/TV2/gat.php?id=47

三立iNews,http://8.137.59.151:3009/TV2/gat.php?id=49

中视新闻台,http://8.137.59.151:3009/TV2/gat.php?id=50

中视新闻台,http://8.137.59.151:3009/TV2/gat.php?id=51

华视新闻台,http://8.137.59.151:3009/TV2/gat.php?id=109

民视闽南台,http://8.137.59.151:3009/TV2/gat.php?id=41

中视闽南台,http://8.137.59.151:3009/TV2/gat.php?id=42

台视闽南台,http://8.137.59.151:3009/TV2/gat.php?id=43

华视闽南台,http://8.137.59.151:3009/TV2/gat.php?id=44

好莱坞电影,http://8.137.59.151:3009/TV2/gat.php?id=79

东森电影台,http://8.137.59.151:3009/TV2/gat.php?id=62

东森洋片台,http://8.137.59.151:3009/TV2/gat.php?id=63

龙华偶像台,http://8.137.59.151:3009/TV2/gat.php?id=64

八大第一台,http://8.137.59.151:3009/TV2/gat.php?id=56

三立综合台,http://8.137.59.151:3009/TV2/gat.php?id=75

FTV综艺台,http://8.137.59.151:3009/TV2/gat.php?id=61

猪哥亮歌厅,http://8.137.59.151:3009/TV2/gat.php?id=108

亚洲旅游台,http://8.137.59.151:3009/TV2/gat.php?id=91

动物星球台,http://8.137.59.151:3009/TV2/gat.php?id=34

国家地理台,http://8.137.59.151:3009/TV2/gat.php?id=92

野生地理台,http://8.137.59.151:3009/TV2/gat.php?id=93

ELT-影剧台,http://8.137.59.151:3009/TV2/gat.php?id=76

ELT-体育二,http://8.137.59.151:3009/TV2/gat.php?id=111

ELT-体育三,http://8.137.59.151:3009/TV2/gat.php?id=97

ELT-体育四,http://8.137.59.151:3009/TV2/gat.php?id=98

TvN-韩综台,http://8.137.59.151:3009/TV2/gat.php?id=35

TvN-韩综台,http://8.137.59.151:3009/TV2/gat.php?id=36

KIX_韩综台,http://8.137.59.151:3009/TV2/gat.php?id=31

fash时尚台,http://8.137.59.151:3009/TV2/gat.php?id=32

HBO_Hd台,http://8.137.59.151:3009/TV2/gat.php?id=80

Thrill_电影,http://8.137.59.151:3009/TV2/gat.php?id=33

RockE电影,http://8.137.59.151:3009/TV2/gat.php?id=29

RockA电影,http://8.137.59.151:3009/TV2/gat.php?id=30

BBC新闻台,http://8.137.59.151:3009/TV2/gat.php?id=95



🇨🇳央视频道,#genre#
CCTV1,http://101.200.122.188/tv/migu085.php?id=cctv1
CCTV2,http://101.200.122.188/tv/migu085.php?id=cctv2
CCTV3,http://101.200.122.188/tv/migu085.php?id=cctv3
CCTV4,http://101.200.122.188/tv/migu085.php?id=cctv4
CCTV4美洲,http://101.200.122.188/tv/migu085.php?id=cctv4a
CCTV5,http://101.200.122.188/tv/migu085.php?id=cctv5
CCTV5+,http://101.200.122.188/tv/migu085.php?id=cctv5p
