欧飞,#genre#
台視,https://www.ofiii.com/channel/watch/4gtv-4gtv066
中視,https://www.ofiii.com/channel/watch/4gtv-4gtv040
華視,https://www.ofiii.com/channel/watch/4gtv-4gtv041
公視金獎台,https://www.ofiii.com/channel/watch/ofiii13
好消息2台,https://www.ofiii.com/channel/watch/litv-ftv17
好消息,https://www.ofiii.com/channel/watch/litv-ftv16
ELTV生活英語台,https://www.ofiii.com/channel/watch/litv-longturn20
龍華卡通台,https://www.ofiii.com/channel/watch/litv-longturn01
哆啦Ａ夢台,https://www.ofiii.com/channel/watch/ofiii22
新哆啦A夢(中文版),https://www.ofiii.com/channel/watch/ofiii23
TVBS食尚玩家,https://www.ofiii.com/channel/watch/ofiii31
東森娛樂台,https://www.ofiii.com/channel/watch/ofiii32
亞洲旅遊台,https://www.ofiii.com/channel/watch/litv-longturn17
中天亞洲精采台,https://www.ofiii.com/channel/watch/ofiii36
Smart知識台,https://www.ofiii.com/channel/watch/litv-longturn19
龍華戲劇台,https://www.ofiii.com/channel/watch/litv-longturn18
台灣戲劇台,https://www.ofiii.com/channel/watch/litv-longturn22
東森購物1台,https://www.ofiii.com/channel/watch/4gtv-4gtv102
龍華偶像台,https://www.ofiii.com/channel/watch/litv-longturn12
龍華日韓台,https://www.ofiii.com/channel/watch/litv-longturn11
Yes娛樂,https://www.ofiii.com/channel/watch/ofiii47
Focus風采戲劇台,https://www.ofiii.com/channel/watch/ofiii1048
東森購物2台,https://www.ofiii.com/channel/watch/4gtv-4gtv103
掏掏新聞,https://www.ofiii.com/channel/watch/ofiii50
柯文哲政治風波,https://www.ofiii.com/channel/watch/ofiii51
華視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv052
倪珍播新聞,https://www.ofiii.com/channel/watch/nnews-zh
三立新聞iNEWS,https://www.ofiii.com/channel/watch/iNEWS
寰宇財經台,https://www.ofiii.com/channel/watch/litv-longturn23
台視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv051
中視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv074
中天新聞台,https://www.ofiii.com/channel/watch/4gtv-4gtv009
寰宇新聞台灣台,https://www.ofiii.com/channel/watch/litv-longturn15
寰宇新聞台,https://www.ofiii.com/channel/watch/litv-longturn14
第1財經,https://www.ofiii.com/channel/watch/ofiii64
第1商業台,https://www.ofiii.com/channel/watch/4gtv-4gtv104
國會頻道1台,https://www.ofiii.com/channel/watch/4gtv-4gtv084
國會頻道2台,https://www.ofiii.com/channel/watch/4gtv-4gtv085
倪珍英語新聞,https://www.ofiii.com/channel/watch/nnews-en
龍華經典台,https://www.ofiii.com/channel/watch/litv-longturn21
龍華電影台,https://www.ofiii.com/channel/watch/litv-longturn03
周星馳台,https://www.ofiii.com/channel/watch/ofiii73
歐飛電影台,https://www.ofiii.com/channel/watch/ofiii74
歐飛喜劇電影台,https://www.ofiii.com/channel/watch/ofiii75
Focus探索新知台,https://www.ofiii.com/channel/watch/ofiii82
鄉民大學問,https://www.ofiii.com/channel/watch/ofiii83
野球名人房,https://www.ofiii.com/channel/watch/ofiii84
社會NOW什麼,https://www.ofiii.com/channel/watch/ofiii85
倪珍報星座,https://www.ofiii.com/channel/watch/ofiii86
東森購物快閃台,https://www.ofiii.com/channel/watch/ofiii87
健康問良醫,https://www.ofiii.com/channel/watch/ofiii92
愛唱歌親子演唱會,https://www.ofiii.com/channel/watch/ofiii93
八月,https://www.ofiii.com/channel/watch/ofiii94
Freeman-台灣,https://www.ofiii.com/channel/watch/ofiii95
饕客揪愛吃,https://www.ofiii.com/channel/watch/ofiii96
人氣動漫預告,https://www.ofiii.com/channel/watch/ofiii97
銀髮聚樂部,https://www.ofiii.com/channel/watch/ofiii99
101  琅琊榜,https://www.ofiii.com/channel/watch/ofiii101
102  扶搖,https://www.ofiii.com/channel/watch/ofiii102
103  三國,https://www.ofiii.com/channel/watch/ofiii103
104  武媚娘傳奇,https://www.ofiii.com/channel/watch/ofiii104
105  芈月傳《9/27即將下架》,https://www.ofiii.com/channel/watch/ofiii105
106  軍師聯盟,https://www.ofiii.com/channel/watch/ofiii106
107  軍師聯盟2  虎嘯龍吟,https://www.ofiii.com/channel/watch/ofiii107
108  東宮(完整版),https://www.ofiii.com/channel/watch/ofiii108
109  錦衣之下,https://www.ofiii.com/channel/watch/ofiii109
110  楚喬傳,https://www.ofiii.com/channel/watch/ofiii110
111  倚天屠龍記  2019,https://www.ofiii.com/channel/watch/ofiii111
112  風起西州,https://www.ofiii.com/channel/watch/ofiii112
