台湾频道,#genre#
民视,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/939.m3u8
民视新闻,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/940.m3u8
台视,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/941.m3u8
台视新闻,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/942.m3u8
中视,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/943.m3u8
华视,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/944.m3u8
非凡新闻,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/945.m3u8
三立台灣,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/946.m3u8
三立新聞,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/947.m3u8
三立戏剧,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/948.m3u8
TVBS NEWS,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/949.m3u8
TVBS新聞,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/950.m3u8
TVBS亚洲,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/951.m3u8
半岛新闻台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/952.m3u8
环球电视台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/953.m3u8
MoMo综合,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/954.m3u8
中天娱乐台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/955.m3u8
东森美洲,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/956.m3u8
东森美洲2,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/957.m3u8
东森超视,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/958.m3u8
S超视,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/959.m3u8
大爱一台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/960.m3u8
大爱二台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/961.m3u8
八大第一,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/962.m3u8
八大综合,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/963.m3u8
八大戏剧,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/964.m3u8
华语电视,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/965.m3u8
大立电视,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/966.m3u8
纬来体育,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/967.m3u8
纬来育乐,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/968.m3u8
纬来日本,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/969.m3u8
纬来精彩,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/970.m3u8
ELTA体育3,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/971.m3u8
ELTA体育4,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/972.m3u8
DAZN体育1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/973.m3u8
DAZN体育2,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/974.m3u8
亚洲新闻台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/975.m3u8
BBC news,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/976.m3u8
CNN news,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/977.m3u8
探索频道,#genre#
Love Nrture-4K,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/986.m3u8
Fashion-4K,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/987.m3u8
FTV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/988.m3u8
Discovery Aisa,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/989.m3u8
UK Discovery,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/990.m3u8
UK Discovery+1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/991.m3u8
UK Disc.History+1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/992.m3u8
UK Disc.Sci+1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/993.m3u8
UK Disc.Turbo+1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/994.m3u8
UK Nat Geo FHD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/995.m3u8
UK Nat Geo Wild FHD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/996.m3u8
UK Sky Crime FHD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/997.m3u8
UK Sky Documentries FHD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/998.m3u8
UK Sky History FHD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/999.m3u8
UK Sky History 2 FHD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/1000.m3u8
UK Sky Nature FHD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/1001.m3u8
UK Animal Planet,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/1002.m3u8
UK Animal Planet +1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/1003.m3u8
动物星球,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/1004.m3u8
咪咕固定,#genre#
咪咕直播4K 1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/772.m3u8
咪咕直播4K 2,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/773.m3u8
咪咕直播 1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/774.m3u8
咪咕直播 2,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/775.m3u8
咪咕直播 3,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/776.m3u8
咪咕直播 4,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/777.m3u8
咪咕直播 5,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/778.m3u8
咪咕直播 6,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/779.m3u8
咪咕直播 7,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/780.m3u8
咪咕直播 8,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/781.m3u8
咪咕直播 9,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/782.m3u8
咪咕直播 10,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/783.m3u8
咪咕直播 11,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/784.m3u8
咪咕直播 12,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/785.m3u8
咪咕直播 13,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/786.m3u8
咪咕直播 14,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/787.m3u8
咪咕直播 15,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/788.m3u8
咪咕直播 16,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/789.m3u8
咪咕直播 17,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/790.m3u8
咪咕直播 18,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/791.m3u8
咪咕直播 19,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/792.m3u8
咪咕直播 20,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/793.m3u8
咪咕直播 21,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/794.m3u8
咪咕直播 22,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/795.m3u8
咪咕直播 23,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/796.m3u8
咪咕直播 24,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/797.m3u8
咪咕直播 25,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/798.m3u8
咪咕直播 26,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/799.m3u8
咪咕直播 27,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/800.m3u8
咪咕直播 28,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/801.m3u8
咪咕直播 29,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/802.m3u8
咪咕直播 30,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/803.m3u8
咪咕直播 31,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/804.m3u8
咪咕直播 32,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/805.m3u8
咪咕直播 33,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/806.m3u8
咪咕直播 34,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/807.m3u8
咪咕直播 35,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/808.m3u8
咪咕直播 36,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/809.m3u8
咪咕直播 37,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/810.m3u8
咪咕直播 38,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/811.m3u8
咪咕直播 39,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/812.m3u8
咪咕直播 40,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/813.m3u8
咪咕直播 41,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/814.m3u8
咪咕直播 42,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/815.m3u8
咪咕直播 43,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/816.m3u8
咪咕直播 44,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/817.m3u8
咪咕直播 45,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/818.m3u8
咪咕体育 1「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/819.m3u8
咪咕体育 2「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/820.m3u8
咪咕体育 3「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/821.m3u8
咪咕体育 4「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/822.m3u8
咪咕体育 5「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/823.m3u8
咪咕体育 6「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/824.m3u8
咪咕体育 7「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/825.m3u8
咪咕体育 8「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/826.m3u8
咪咕体育 9「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/827.m3u8
咪咕体育 10「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/828.m3u8
咪咕体育 11「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/829.m3u8
咪咕体育 12「IPV6」,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/830.m3u8
香港频道,#genre#
TVB翡翠台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/697.m3u8
TVB翡翠台 4K测试,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/698.m3u8
TVB无线新闻台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/700.m3u8
TVB明珠台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/702.m3u8
TVB娱乐新闻台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/704.m3u8
TVB粵語片,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/979.m3u8
ViuTV9(测试),https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/984.m3u8
ViuTVsix(测试),https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/985.m3u8
HOY TV Ⓖ,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/710.m3u8
HOY TV 76,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/711.m3u8
HOY TV 77,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/712.m3u8
HOY TV 78,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/713.m3u8
凤凰中文,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/714.m3u8
凤凰资讯,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/715.m3u8
凤凰香港,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/716.m3u8
RTHK32,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/717.m3u8
RTHK33,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/718.m3u8
RTHK34,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/719.m3u8
RTHK35,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/720.m3u8
RTHK36,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/721.m3u8
美亞電影台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/981.m3u8
黃金翡翠台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/982.m3u8
黃金華劇台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/983.m3u8
亞洲新聞台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/980.m3u8
TVB PLUS,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/1171.m3u8
28 AI智慧賽馬,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/1172.m3u8
足球赛事,#genre#
myTV SUPER 直播足球3台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/889.m3u8
myTV SUPER 直播足球4台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/890.m3u8
myTV SUPER 直播足球5台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/891.m3u8
myTV SUPER 直播足球6台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/892.m3u8
曼联官方 MUTV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/893.m3u8
皇马RMTV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/894.m3u8
魅力足球,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/896.m3u8
