中国 China,#genre#
CCTV-1综合HD,http://113.57.109.48:1111/tsfile/live/1000_1.m3u8?key=txiptv
CCTV-2财经HD,http://113.57.109.48:1111/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-3综艺HD,http://113.57.109.48:1111/tsfile/live/1002_1.m3u8?key=txiptv
CCTV-4中文国际HD,http://113.57.109.48:1111/tsfile/live/1003_1.m3u8?key=txiptv
CCTV-5体育HD,http://113.57.109.48:1111/tsfile/live/1004_1.m3u8?key=txiptv
CCTV-6电影HD,http://113.57.109.48:1111/tsfile/live/1005_1.m3u8?key=txiptv
CCTV-7国防军事HD,http://113.57.109.48:1111/tsfile/live/1006_1.m3u8?key=txiptv
CCTV-8电视剧HD,http://113.57.109.48:1111/tsfile/live/1007_1.m3u8?key=txiptv
CCTV-9纪录HD,http://113.57.109.48:1111/tsfile/live/1008_1.m3u8?key=txiptv
CCTV-10科教HD,http://113.57.109.48:1111/tsfile/live/1009_1.m3u8?key=txiptv
CCTV-11戏曲HD,http://113.57.109.48:1111/tsfile/live/1010_1.m3u8?key=txiptv
CCTV-12社会与法HD,http://113.57.109.48:1111/tsfile/live/1011_1.m3u8?key=txiptv
CCTV-13新闻HD,http://113.57.109.48:1111/tsfile/live/1012_1.m3u8?key=txiptv
CCTV-14少儿HD,http://113.57.109.48:1111/tsfile/live/1013_1.m3u8?key=txiptv
CCTV-15音乐,http://113.57.109.48:1111/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16奥林匹克HD,http://113.57.109.48:1111/tsfile/live/1014_1.m3u8?key=txiptv
CCTV-17农业农村HD,http://113.57.109.48:1111/tsfile/live/1015_1.m3u8?key=txiptv
CCTV5+体育赛事HD,http://113.57.109.48:1111/tsfile/live/1016_1.m3u8?key=txiptv
湖北卫视HD,http://113.57.109.48:1111/tsfile/live/1017_1.m3u8?key=txiptv
湖北影视HD,http://113.57.109.48:1111/tsfile/live/1018_1.m3u8?key=txiptv
湖北生活HD,http://113.57.109.48:1111/tsfile/live/1019_1.m3u8?key=txiptv
湖南卫视HD,http://113.57.109.48:1111/tsfile/live/1020_1.m3u8?key=txiptv
北京卫视HD,http://113.57.109.48:1111/tsfile/live/1021_1.m3u8?key=txiptv
东方卫视HD,http://113.57.109.48:1111/tsfile/live/1022_1.m3u8?key=txiptv
江苏卫视HD,http://113.57.109.48:1111/tsfile/live/1023_1.m3u8?key=txiptv
浙江卫视HD,http://113.57.109.48:1111/tsfile/live/1024_1.m3u8?key=txiptv
安徽卫视HD,http://113.57.109.48:1111/tsfile/live/1025_1.m3u8?key=txiptv
广东卫视HD,http://113.57.109.48:1111/tsfile/live/1026_1.m3u8?key=txiptv
深圳卫视HD,http://113.57.109.48:1111/tsfile/live/1027_1.m3u8?key=txiptv
天津卫视HD,http://113.57.109.48:1111/tsfile/live/1028_1.m3u8?key=txiptv
山东卫视HD,http://113.57.109.48:1111/tsfile/live/1029_1.m3u8?key=txiptv
辽宁卫视HD,http://113.57.109.48:1111/tsfile/live/1030_1.m3u8?key=txiptv
河北卫视HD,http://113.57.109.48:1111/tsfile/live/1031_1.m3u8?key=txiptv
河南卫视HD,http://113.57.109.48:1111/tsfile/live/1032_1.m3u8?key=txiptv
黑龙江卫视HD,http://113.57.109.48:1111/tsfile/live/1033_1.m3u8?key=txiptv
东南卫视HD,http://113.57.109.48:1111/tsfile/live/1034_1.m3u8?key=txiptv
